outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,color_group
chicken_fish,vegetarian,Proportion,0.874471214816726,0.7617245752022896,1.0012678808171467,NA,0.874471214816726,1.00107500692208,Restaurant,W8T41JZK0ZMEP,Animal
vegetarian,mpbamod,Count,NA,0.9300863808627902,1.085263051574361,NA,1.00048809728026,1.008786766822,Restaurant,1SQPTEGYPH0GA,Plant-based
vegetarian,mpbamod,Count,NA,0.7507328853876445,1.154696886095064,NA,0.99380039086166,1.00225912838172,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,mpbamod,Count,NA,0.932964741112586,1.1418799712776684,NA,1.0030056970323,1.00204164032356,Restaurant,78AY09MVJVTYE,Plant-based
vegetarian,mpbamod,Count,NA,0.963757675870061,1.0178998571620148,NA,0.998826301229592,1.00394807978971,Restaurant,9XKJD8DQTH559,Plant-based
vegetarian,mpbamod,Count,NA,0.8849903042800353,1.2107676806493524,NA,1.00433748501962,1.00339202127266,Restaurant,C0BE4NDSW26QN,Plant-based
vegetarian,mpbamod,Count,NA,0.8953802351140198,1.0697817723786704,NA,0.997889655482409,1.00092231566852,Restaurant,CB2KHY1C2G9PT,Plant-based
vegetarian,mpbamod,Count,NA,0.9838474723197177,1.0209394359359354,NA,1.00035101855385,1.00924146294868,Restaurant,ED5J990H5VAZT,Plant-based
vegetarian,mpbamod,Count,NA,0.8023622564606556,1.1138706903694364,NA,0.995393398397786,1.00562554018403,Restaurant,EMBVNVD207CC6,Plant-based
vegetarian,mpbamod,Count,NA,0.9561461052964682,1.046394501160686,NA,0.999793277617015,1.00004995812083,Restaurant,JHDN7CF1C03X5,Plant-based
vegetarian,mpbamod,Count,NA,0.8667087173920359,1.2352938726299452,NA,1.00477328417433,1.00076675558124,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,mpbamod,Count,NA,0.8781520632504414,1.0745136075268402,NA,0.996938113979668,1.00896957144368,Restaurant,LBZEEFSBJNB3Z,Plant-based
vegetarian,mpbamod,Count,NA,0.716460947310335,1.3719214887250413,NA,0.998033406904154,1.00778562272793,Restaurant,LFZFT3VASXPED,Plant-based
vegetarian,mpbamod,Count,NA,0.8423173050719169,1.2803659769736548,NA,1.00408345975463,1.01216838798767,Restaurant,LQ5EH4BKGV61T,Plant-based
vegetarian,mpbamod,Count,NA,0.8501785577438608,1.2030330915655476,NA,1.0016088845067,1.02518247567533,Restaurant,S8MT0YGD2KTN9,Plant-based
vegetarian,mpbamod,Count,NA,0.7570588793232719,1.2626198166923237,NA,0.997279221724684,1.00091151859584,Restaurant,SAFK7ND1HR6XS,Plant-based
vegetarian,mpbamod,Count,NA,1.0753480377731652,1.2790102066567888,NA,1.01578008497602,1.00732882147425,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,mpbamod,Count,NA,0.9538157221641412,1.0514889563263434,NA,1.00028606790456,1.01053926575522,Restaurant,V3Q26BHF3SE2H,Plant-based
vegetarian,mpbamod,Count,NA,0.9635932948285519,1.0224952801050655,NA,0.999074592654441,1.00262183880574,Restaurant,W8T41JZK0ZMEP,Plant-based
vegetarian,mpbamod,Proportion,1.04025572374656,0.7940569840383173,1.3422301505235235,NA,1.04025572374656,1.00021465513208,Restaurant,1SQPTEGYPH0GA,Plant-based
vegetarian,mpbamod,Proportion,0.849198395277935,0.5182455222959395,1.3149714199299904,NA,0.849198395277935,1.00518633352557,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,mpbamod,Proportion,1.061681167534,0.8081425199003025,1.359349015734169,NA,1.061681167534,1.01589643222801,Restaurant,78AY09MVJVTYE,Plant-based
vegetarian,mpbamod,Proportion,0.993046048866515,0.857377197701567,1.1403689242253359,NA,0.993046048866515,1.00169645198406,Restaurant,9XKJD8DQTH559,Plant-based
vegetarian,mpbamod,Proportion,1.17016402371119,0.8073033150479576,1.678890271121318,NA,1.17016402371119,1.00366650407777,Restaurant,C0BE4NDSW26QN,Plant-based
vegetarian,mpbamod,Proportion,0.886856669153764,0.7602396904524407,1.0271075993462526,NA,0.886856669153764,1.00076976996582,Restaurant,CB2KHY1C2G9PT,Plant-based
vegetarian,mpbamod,Proportion,1.00617365868547,0.9659908680294162,1.0475862746898876,NA,1.00617365868547,1.00092454040866,Restaurant,ED5J990H5VAZT,Plant-based
vegetarian,mpbamod,Proportion,0.952132693298233,0.818817239315407,1.0990129703410259,NA,0.952132693298233,1.009014112133,Restaurant,EMBVNVD207CC6,Plant-based
vegetarian,mpbamod,Proportion,0.782002071712948,0.6471900252608067,0.9378316349439445,NA,0.782002071712948,1.00704639918241,Restaurant,JHDN7CF1C03X5,Plant-based
vegetarian,mpbamod,Proportion,1.08283831194576,0.605250497614947,1.763707469119207,NA,1.08283831194576,1.00534292984367,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,mpbamod,Proportion,0.908498262106802,0.6233944023599959,1.2848125298028263,NA,0.908498262106802,1.00331317953106,Restaurant,LBZEEFSBJNB3Z,Plant-based
vegetarian,mpbamod,Proportion,1.28475964919569,0.45964022147423383,2.838415416107191,NA,1.28475964919569,1.01290466923501,Restaurant,LFZFT3VASXPED,Plant-based
vegetarian,mpbamod,Proportion,0.998308551013073,0.6453918577587143,1.4823863717457124,NA,0.998308551013073,1.0041183282739,Restaurant,LQ5EH4BKGV61T,Plant-based
vegetarian,mpbamod,Proportion,1.4438281800744,0.9982606324561116,2.048243493662715,NA,1.4438281800744,1.00122623937372,Restaurant,S8MT0YGD2KTN9,Plant-based
vegetarian,mpbamod,Proportion,0.951507317372951,0.5884472098170767,1.452002676905886,NA,0.951507317372951,1.00596363803791,Restaurant,SAFK7ND1HR6XS,Plant-based
vegetarian,mpbamod,Proportion,1.17173947590772,1.06969503330891,1.2863063129796888,NA,1.17173947590772,1.00415512600867,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,mpbamod,Proportion,0.982140969558794,0.904383050032702,1.0578224643142844,NA,0.982140969558794,1.00099416752669,Restaurant,V3Q26BHF3SE2H,Plant-based
vegetarian,mpbamod,Proportion,0.990741725146486,0.8537437438258533,1.1398728940125613,NA,0.990741725146486,1.00658968644613,Restaurant,W8T41JZK0ZMEP,Plant-based
vegetarian,vegan,Count,NA,0.959414798536939,1.0521812969802362,NA,1.00033669714402,1.0044797949829,Restaurant,1SQPTEGYPH0GA,Plant-based
vegetarian,vegan,Count,NA,0.9112286467323542,1.1712023851220539,NA,1.00336688376453,1.00514165605771,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,vegan,Count,NA,0.9603513871845866,1.0280648872947282,NA,0.999392385738536,1.00021681506207,Restaurant,78AY09MVJVTYE,Plant-based
vegetarian,vegan,Count,NA,0.971629600176014,1.0138396915983625,NA,0.999278187598361,1.00323827022646,Restaurant,9XKJD8DQTH559,Plant-based
vegetarian,vegan,Count,NA,0.9556126404072903,1.0429249844079373,NA,0.999992625067494,1.00092937411632,Restaurant,C0BE4NDSW26QN,Plant-based
vegetarian,vegan,Count,NA,0.993591093909219,1.0494184406170965,NA,1.00211265497588,1.00653559109703,Restaurant,CB2KHY1C2G9PT,Plant-based
vegetarian,vegan,Count,NA,0.9590622407348297,1.1172132653329518,NA,1.00326114908635,1.00089029208315,Restaurant,ED5J990H5VAZT,Plant-based
vegetarian,vegan,Count,NA,0.7935092986966701,1.095749378362813,NA,0.992760975896894,1.00013060251271,Restaurant,EMBVNVD207CC6,Plant-based
vegetarian,vegan,Count,NA,1.0106648600717842,1.065735101264781,NA,1.00372061425435,1.000646092723,Restaurant,JHDN7CF1C03X5,Plant-based
vegetarian,vegan,Count,NA,0.9479265423044613,1.0824865703777506,NA,1.00140448914327,1.00146728854129,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,vegan,Count,NA,0.8806139190149247,1.031232044813253,NA,0.995308832467497,1.0084060735781,Restaurant,LBZEEFSBJNB3Z,Plant-based
vegetarian,vegan,Count,NA,0.8058511218756648,1.2598831558676469,NA,1.00164507304088,1.00311625352584,Restaurant,LFZFT3VASXPED,Plant-based
vegetarian,vegan,Count,NA,0.7786631922264761,1.1939070001884777,NA,0.996740649719223,1.0076939459287,Restaurant,LQ5EH4BKGV61T,Plant-based
vegetarian,vegan,Count,NA,0.8562103931078182,1.1187079683094954,NA,0.998186627338991,1.00473205410534,Restaurant,S8MT0YGD2KTN9,Plant-based
vegetarian,vegan,Count,NA,0.7393865117882985,1.3041209612211169,NA,0.999288160104334,1.00183193395681,Restaurant,SAFK7ND1HR6XS,Plant-based
vegetarian,vegan,Count,NA,0.5921997188914002,0.8696478107701738,NA,0.966492562286992,1.00614165967215,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,vegan,Count,NA,0.9199137445576587,1.0925050580271218,NA,0.999932558841116,1.00355720821628,Restaurant,V3Q26BHF3SE2H,Plant-based
vegetarian,vegan,Count,NA,0.9776721667149073,1.0155991338729382,NA,0.999706385994902,1.0001531270945,Restaurant,W8T41JZK0ZMEP,Plant-based
vegetarian,vegetarian,Proportion,1.02525844632704,0.9035023994505916,1.1600063674102787,NA,1.02525844632704,1.00434051309498,Restaurant,1SQPTEGYPH0GA,Plant-based
vegetarian,vegetarian,Proportion,0.983188692258135,0.7696102724050967,1.232166985154797,NA,0.983188692258135,1.00168070508029,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,vegetarian,Proportion,1.00425726000542,0.9292105817999652,1.085613402315709,NA,1.00425726000542,1.00068144622179,Restaurant,78AY09MVJVTYE,Plant-based
vegetarian,vegetarian,Proportion,0.999031087128995,0.8805191326327602,1.125940714713473,NA,0.999031087128995,1.00264706926557,Restaurant,9XKJD8DQTH559,Plant-based
vegetarian,vegetarian,Proportion,1.03256083729896,0.9113087085657126,1.166265383925125,NA,1.03256083729896,1.00161961356275,Restaurant,C0BE4NDSW26QN,Plant-based
vegetarian,vegetarian,Proportion,1.09203396658099,0.9862818212502809,1.2174449420603086,NA,1.09203396658099,1.00589182140454,Restaurant,CB2KHY1C2G9PT,Plant-based
vegetarian,vegetarian,Proportion,1.08956249277134,0.9540633851824032,1.2391063235891275,NA,1.08956249277134,1.00106247008596,Restaurant,ED5J990H5VAZT,Plant-based
vegetarian,vegetarian,Proportion,1.02208684306402,0.9029735025898563,1.1530570843539139,NA,1.02208684306402,1.00857546725103,Restaurant,EMBVNVD207CC6,Plant-based
vegetarian,vegetarian,Proportion,1.21154800620792,1.053844933469258,1.3953550556251981,NA,1.21154800620792,1.00787401122528,Restaurant,JHDN7CF1C03X5,Plant-based
vegetarian,vegetarian,Proportion,1.07646090516723,0.8274522310292898,1.3690897188060123,NA,1.07646090516723,1.01105821284607,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,vegetarian,Proportion,1.01162769281474,0.880127877424069,1.1569105948777378,NA,1.01162769281474,1.00154253225495,Restaurant,LBZEEFSBJNB3Z,Plant-based
vegetarian,vegetarian,Proportion,1.09414904553631,0.7796931333422213,1.4879848319842892,NA,1.09414904553631,1.00506553067515,Restaurant,LFZFT3VASXPED,Plant-based
vegetarian,vegetarian,Proportion,1.0430438172869,0.8127008722494172,1.3243821529151516,NA,1.0430438172869,1.00127945121995,Restaurant,LQ5EH4BKGV61T,Plant-based
vegetarian,vegetarian,Proportion,0.972510796592166,0.8528161534817162,1.09871509187465,NA,0.972510796592166,1.00031073446308,Restaurant,S8MT0YGD2KTN9,Plant-based
vegetarian,vegetarian,Proportion,1.03490728719462,0.7654639807305706,1.363557374020118,NA,1.03490728719462,1.00286897500096,Restaurant,SAFK7ND1HR6XS,Plant-based
vegetarian,vegetarian,Proportion,1.10674502342411,1.0413945121783912,1.178058378291505,NA,1.10674502342411,1.00371473357392,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,vegetarian,Proportion,1.09499480021035,0.9969761622844656,1.2027310074375965,NA,1.09499480021035,1.00353945404814,Restaurant,V3Q26BHF3SE2H,Plant-based
vegetarian,vegetarian,Proportion,1.020738813825,0.8629895598332366,1.193648502274065,NA,1.020738813825,1.00270133922851,Restaurant,W8T41JZK0ZMEP,Plant-based
vegan,mpbamod,Count,NA,0.9369359952885813,1.1356339859882718,NA,1.00300825938264,1.00059779533744,Restaurant,1SQPTEGYPH0GA,Plant-based
vegan,mpbamod,Count,NA,0.7942033776285832,1.1894264944294337,NA,0.998127189723243,1.00475125619859,Restaurant,2HRX9P6HKXA8V,Plant-based
vegan,mpbamod,Count,NA,0.8780565423839443,1.1668237638608567,NA,1.00203863160047,1.0017500268395,Restaurant,78AY09MVJVTYE,Plant-based
vegan,mpbamod,Count,NA,0.93925599145077,0.9925927792124429,NA,0.996307974635731,0.999911625105337,Restaurant,9XKJD8DQTH559,Plant-based
vegan,mpbamod,Count,NA,0.9296153537345757,1.3590223768748182,NA,1.01179821682996,1.0033205728697,Restaurant,C0BE4NDSW26QN,Plant-based
vegan,mpbamod,Count,NA,0.8634706877771563,1.1365972369789006,NA,0.999281395341917,1.00358701521142,Restaurant,CB2KHY1C2G9PT,Plant-based
vegan,mpbamod,Count,NA,0.9957804184318587,1.0486990795740085,NA,1.00218794349664,1.00002966815483,Restaurant,ED5J990H5VAZT,Plant-based
vegan,mpbamod,Count,NA,0.8892116309384184,1.259261329625691,NA,1.00626429156039,1.01029107254963,Restaurant,EMBVNVD207CC6,Plant-based
vegan,mpbamod,Count,NA,0.9446503632773284,1.0472769861527327,NA,0.999342012813521,1.00044750013044,Restaurant,JHDN7CF1C03X5,Plant-based
vegan,mpbamod,Count,NA,0.8791361224336631,1.397381405157782,NA,1.00985537417582,1.00419515306413,Restaurant,L69HYJ4Y3TR91,Plant-based
vegan,mpbamod,Count,NA,0.8771542359490985,1.150364539768917,NA,1.00084008187265,1.00243303662331,Restaurant,LBZEEFSBJNB3Z,Plant-based
vegan,mpbamod,Count,NA,0.7331994293994837,1.4890486908587826,NA,1.00212680350674,1.00133665349366,Restaurant,LFZFT3VASXPED,Plant-based
vegan,mpbamod,Count,NA,0.8936150837174408,1.5450127603626445,NA,1.01423971041329,1.00710956259017,Restaurant,LQ5EH4BKGV61T,Plant-based
vegan,mpbamod,Count,NA,0.851782536037112,1.2435434969777162,NA,1.00271912227573,1.00534478126478,Restaurant,S8MT0YGD2KTN9,Plant-based
vegan,mpbamod,Count,NA,0.7878258199341936,1.3196610517861054,NA,1.00033601741408,1.00793615439036,Restaurant,SAFK7ND1HR6XS,Plant-based
vegan,mpbamod,Count,NA,0.8845008903667149,1.101107438079597,NA,0.998396787441613,1.00540678251287,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegan,mpbamod,Count,NA,0.9692958346879897,1.1013928871032996,NA,1.00331069072431,1.00105737080013,Restaurant,V3Q26BHF3SE2H,Plant-based
vegan,mpbamod,Count,NA,0.9550675693101034,1.0141767617405957,NA,0.99822581599386,1.00138030371023,Restaurant,W8T41JZK0ZMEP,Plant-based
vegan,mpbamod,Proportion,1.08595805555883,0.7432444129393452,1.5338785067266776,NA,1.08595805555883,1.00184886300923,Restaurant,1SQPTEGYPH0GA,Plant-based
vegan,mpbamod,Proportion,1.01239694997389,0.6276962809881025,1.5630036485318206,NA,1.01239694997389,1.00126172857505,Restaurant,2HRX9P6HKXA8V,Plant-based
vegan,mpbamod,Proportion,0.930974142069476,0.6148501465579266,1.3273972582850941,NA,0.930974142069476,0.999966647972267,Restaurant,78AY09MVJVTYE,Plant-based
vegan,mpbamod,Proportion,0.934529250541523,0.8016741052742947,1.0744793846012302,NA,0.934529250541523,1.00105972352494,Restaurant,9XKJD8DQTH559,Plant-based
vegan,mpbamod,Proportion,1.09641476960814,0.6624436185955687,1.6632215925315985,NA,1.09641476960814,1.00090303025214,Restaurant,C0BE4NDSW26QN,Plant-based
vegan,mpbamod,Proportion,0.645234571598488,0.505260402546957,0.7977289411328828,NA,0.645234571598488,1.00169004324964,Restaurant,CB2KHY1C2G9PT,Plant-based
vegan,mpbamod,Proportion,1.0568697914772,0.9991550896129616,1.1181880210834305,NA,1.0568697914772,1.00388746454651,Restaurant,ED5J990H5VAZT,Plant-based
vegan,mpbamod,Proportion,1.1598266990618,0.9593555752096795,1.37379295815603,NA,1.1598266990618,1.00565058547464,Restaurant,EMBVNVD207CC6,Plant-based
vegan,mpbamod,Proportion,0.887296500831507,0.725356810540582,1.0833848246606665,NA,0.887296500831507,1.00077430532588,Restaurant,JHDN7CF1C03X5,Plant-based
vegan,mpbamod,Proportion,1.2181902847653,0.6227435501119162,2.2155173108050805,NA,1.2181902847653,1.00099584273829,Restaurant,L69HYJ4Y3TR91,Plant-based
vegan,mpbamod,Proportion,1.50720481258434,0.9668079954476069,2.2981363709819504,NA,1.50720481258434,1.00186538512982,Restaurant,LBZEEFSBJNB3Z,Plant-based
vegan,mpbamod,Proportion,1.24223982635465,0.44921690676550396,2.911433330193714,NA,1.24223982635465,1.00247887188399,Restaurant,LFZFT3VASXPED,Plant-based
vegan,mpbamod,Proportion,1.27035128644007,0.7209149990728279,2.097123284796919,NA,1.27035128644007,1.0048551440281,Restaurant,LQ5EH4BKGV61T,Plant-based
vegan,mpbamod,Proportion,1.42340184896317,0.8908185177855914,2.1248053060572327,NA,1.42340184896317,1.00203243861632,Restaurant,S8MT0YGD2KTN9,Plant-based
vegan,mpbamod,Proportion,1.00068554078017,0.6128746184920133,1.5421928688964515,NA,1.00068554078017,1.00197014524792,Restaurant,SAFK7ND1HR6XS,Plant-based
vegan,mpbamod,Proportion,0.980055659171279,0.872680799120697,1.1006301041400943,NA,0.980055659171279,1.00000132448564,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegan,mpbamod,Proportion,1.02159289091551,0.909796006188044,1.1398716490326675,NA,1.02159289091551,1.00006936305831,Restaurant,V3Q26BHF3SE2H,Plant-based
vegan,mpbamod,Proportion,1.00800903387716,0.8618272516675485,1.1660483433699629,NA,1.00800903387716,0.999944415851621,Restaurant,W8T41JZK0ZMEP,Plant-based
vegan,vegan,Count,NA,1.1715244799599331,1.2794954557132143,NA,1.02032568651305,1.0005007584785,Restaurant,1SQPTEGYPH0GA,Plant-based
vegan,vegan,Count,NA,0.8820491049311511,1.0808237020267986,NA,0.997990272695327,1.00424149719133,Restaurant,2HRX9P6HKXA8V,Plant-based
vegan,vegan,Count,NA,1.028676446480808,1.1476485099337137,NA,1.00816061202825,0.999931469400802,Restaurant,78AY09MVJVTYE,Plant-based
vegan,vegan,Count,NA,1.0142003834906121,1.05135401602557,NA,1.0031161076237,1.00116797384415,Restaurant,9XKJD8DQTH559,Plant-based
vegan,vegan,Count,NA,1.0423746289927311,1.1324175248685548,NA,1.0084205397333,1.00010404545235,Restaurant,C0BE4NDSW26QN,Plant-based
vegan,vegan,Count,NA,1.1545747853761614,1.2882849336574942,NA,1.01997344342782,1.00563339414548,Restaurant,CB2KHY1C2G9PT,Plant-based
vegan,vegan,Count,NA,1.263225158193143,1.567124012000005,NA,1.03433859179502,1.00145090755028,Restaurant,ED5J990H5VAZT,Plant-based
vegan,vegan,Count,NA,1.1822304604751206,1.6037907567004854,NA,1.03187841693432,1.00037686390064,Restaurant,EMBVNVD207CC6,Plant-based
vegan,vegan,Count,NA,0.9903012653119511,1.039738246066078,NA,1.00145902585095,1.00044411358104,Restaurant,JHDN7CF1C03X5,Plant-based
vegan,vegan,Count,NA,1.1176196655066337,1.3303246364426402,NA,1.01943171490977,1.00420650909123,Restaurant,L69HYJ4Y3TR91,Plant-based
vegan,vegan,Count,NA,0.8907312717293691,1.0461472054199703,NA,0.996591550751232,1.00127523022667,Restaurant,LBZEEFSBJNB3Z,Plant-based
vegan,vegan,Count,NA,0.8856177764620851,1.2943076901499713,NA,1.00667267113827,0.999937486034792,Restaurant,LFZFT3VASXPED,Plant-based
vegan,vegan,Count,NA,1.1171236083765608,1.8350214576859682,NA,1.0346241037502,1.00461289320113,Restaurant,LQ5EH4BKGV61T,Plant-based
vegan,vegan,Count,NA,0.7862784006236124,1.0963597925187323,NA,0.993336961893667,1.00106618951425,Restaurant,S8MT0YGD2KTN9,Plant-based
vegan,vegan,Count,NA,0.8891053691622312,1.4168174869810621,NA,1.01087316529176,1.0025251188773,Restaurant,SAFK7ND1HR6XS,Plant-based
vegan,vegan,Count,NA,1.2062834755050282,1.5382958687784973,NA,1.03070968355908,1.00049681622139,Restaurant,V3Q26BHF3SE2H,Plant-based
vegan,vegan,Count,NA,1.0035968632429353,1.035412714287206,NA,1.00183566647321,0.999878904583424,Restaurant,W8T41JZK0ZMEP,Plant-based
vegan,vegetarian,Proportion,0.886506604191092,0.7595486953247177,1.037203272182005,NA,0.886506604191092,1.00087415256094,Restaurant,1SQPTEGYPH0GA,Plant-based
vegan,vegetarian,Proportion,0.92565313424198,0.7341012368423806,1.152190895534603,NA,0.92565313424198,1.00093538093981,Restaurant,2HRX9P6HKXA8V,Plant-based
vegan,vegetarian,Proportion,1.05164049657227,0.9386318738455135,1.1796624736725612,NA,1.05164049657227,1.00986427536218,Restaurant,78AY09MVJVTYE,Plant-based
vegan,vegetarian,Proportion,0.965704070898908,0.8469934400782331,1.1013714808869832,NA,0.965704070898908,1.0010038372904,Restaurant,9XKJD8DQTH559,Plant-based
vegan,vegetarian,Proportion,0.987957373932241,0.8588255574331068,1.1361971519865959,NA,0.987957373932241,1.00274856410327,Restaurant,C0BE4NDSW26QN,Plant-based
vegan,vegetarian,Proportion,1.08969651596708,0.9403941145590806,1.2695743539517228,NA,1.08969651596708,1.00286896462165,Restaurant,CB2KHY1C2G9PT,Plant-based
vegan,vegetarian,Proportion,1.04221382723025,0.8753561916816178,1.242695232477818,NA,1.04221382723025,1.00230189787889,Restaurant,ED5J990H5VAZT,Plant-based
vegan,vegetarian,Proportion,1.00673211172701,0.8731878589425093,1.1530423826296623,NA,1.00673211172701,1.00908660182252,Restaurant,EMBVNVD207CC6,Plant-based
vegan,vegetarian,Proportion,1.07279470282617,0.9227286331609873,1.2505472033761587,NA,1.07279470282617,1.00076369800855,Restaurant,JHDN7CF1C03X5,Plant-based
vegan,vegetarian,Proportion,1.01840601811054,0.7650641708190684,1.345644139113225,NA,1.01840601811054,1.00137656600801,Restaurant,L69HYJ4Y3TR91,Plant-based
vegan,vegetarian,Proportion,0.924790029388791,0.7640178523029042,1.0988050296707383,NA,0.924790029388791,1.00724347185434,Restaurant,LBZEEFSBJNB3Z,Plant-based
vegan,vegetarian,Proportion,0.989991738370615,0.6768869608097158,1.3852442154916078,NA,0.989991738370615,1.00357037110689,Restaurant,LFZFT3VASXPED,Plant-based
vegan,vegetarian,Proportion,1.06277200812119,0.7817408683488642,1.4355929561865683,NA,1.06277200812119,1.00077353999256,Restaurant,LQ5EH4BKGV61T,Plant-based
vegan,vegetarian,Proportion,0.968278053286091,0.8079088650920945,1.135606224108156,NA,0.968278053286091,1.0021316788501,Restaurant,S8MT0YGD2KTN9,Plant-based
vegan,vegetarian,Proportion,0.937262322797036,0.6849165486018632,1.25629683004096,NA,0.937262322797036,1.01213629663467,Restaurant,SAFK7ND1HR6XS,Plant-based
vegan,vegetarian,Proportion,0.955997693279364,0.879933703548108,1.0347006477961067,NA,0.955997693279364,1.00180299276282,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegan,vegetarian,Proportion,0.918955220499292,0.818338359389765,1.0298907514781246,NA,0.918955220499292,1.00113667967501,Restaurant,V3Q26BHF3SE2H,Plant-based
vegan,vegetarian,Proportion,0.958136958020932,0.8024168552585603,1.1327725003594233,NA,0.958136958020932,1.00128011008373,Restaurant,W8T41JZK0ZMEP,Plant-based
